time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-16 00:00:00+00:00,539,116,385,103
2026-05-17 00:00:00+00:00,847,114,405,123
2026-05-18 00:00:00+00:00,1151,263,749,256
2026-05-19 00:00:00+00:00,827,270,623,233
2026-05-20 00:00:00+00:00,1384,321,892,279
2026-05-21 00:00:00+00:00,1346,306,898,279
2026-05-22 00:00:00+00:00,1711,303,838,268
2026-05-23 00:00:00+00:00,614,102,409,90
2026-05-24 00:00:00+00:00,797,159,516,118
2026-05-25 00:00:00+00:00,1534,309,888,233
2026-05-26 00:00:00+00:00,2238,443,883,278
2026-05-27 00:00:00+00:00,2058,476,800,305
2026-05-28 00:00:00+00:00,2008,357,620,264
2026-05-29 00:00:00+00:00,1461,329,831,261
