time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,1,1,47,7
2026-02-05 00:00:00+00:00,1,1,16,5
2026-02-06 00:00:00+00:00,1,1,47,3
2026-02-07 00:00:00+00:00,1,1,1,1
2026-02-08 00:00:00+00:00,0,0,0,0
2026-02-09 00:00:00+00:00,5,4,22,3
2026-02-10 00:00:00+00:00,31,23,187,30
2026-02-11 00:00:00+00:00,1,1,102,11
2026-02-12 00:00:00+00:00,0,0,54,6
2026-02-13 00:00:00+00:00,6,4,20,3
2026-02-14 00:00:00+00:00,0,0,7,1
2026-02-15 00:00:00+00:00,1,1,1,1
2026-02-16 00:00:00+00:00,0,0,25,2
2026-02-17 00:00:00+00:00,4,3,389,7
2026-02-18 00:00:00+00:00,87,52,331,70
2026-02-19 00:00:00+00:00,316,113,368,61
2026-02-20 00:00:00+00:00,103,46,93,33
2026-02-21 00:00:00+00:00,54,31,85,19
2026-02-22 00:00:00+00:00,62,31,68,24
2026-02-23 00:00:00+00:00,214,62,189,54
2026-02-24 00:00:00+00:00,117,53,274,74
2026-02-25 00:00:00+00:00,122,60,939,322
2026-02-26 00:00:00+00:00,165,71,503,168
2026-02-27 00:00:00+00:00,99,59,243,107
2026-02-28 00:00:00+00:00,84,32,154,54
2026-03-01 00:00:00+00:00,37,27,50,30
2026-03-02 00:00:00+00:00,60,48,230,76
2026-03-03 00:00:00+00:00,87,38,155,56
2026-03-04 00:00:00+00:00,32,29,208,59
2026-03-05 00:00:00+00:00,124,61,295,68
2026-03-06 00:00:00+00:00,136,52,182,75
2026-03-07 00:00:00+00:00,81,43,63,26
2026-03-08 00:00:00+00:00,70,40,135,40
2026-03-09 00:00:00+00:00,53,40,328,105
2026-03-10 00:00:00+00:00,124,65,370,104
2026-03-11 00:00:00+00:00,158,77,516,91
2026-03-12 00:00:00+00:00,204,101,366,101
2026-03-13 00:00:00+00:00,112,72,418,97
2026-03-14 00:00:00+00:00,52,36,67,29
2026-03-15 00:00:00+00:00,66,36,129,41
2026-03-16 00:00:00+00:00,142,67,448,112
2026-03-17 00:00:00+00:00,81,60,372,90
2026-03-18 00:00:00+00:00,276,148,551,125
2026-03-19 00:00:00+00:00,160,80,489,96
2026-03-20 00:00:00+00:00,158,69,212,91
2026-03-21 00:00:00+00:00,43,26,129,37
2026-03-22 00:00:00+00:00,45,32,139,42
2026-03-23 00:00:00+00:00,153,74,407,138
2026-03-24 00:00:00+00:00,212,98,942,268
2026-03-25 00:00:00+00:00,174,96,760,232
2026-03-26 00:00:00+00:00,280,119,675,233
2026-03-27 00:00:00+00:00,163,95,520,152
2026-03-28 00:00:00+00:00,87,51,272,88
2026-03-29 00:00:00+00:00,109,45,357,123
2026-03-30 00:00:00+00:00,203,124,780,207
2026-03-31 00:00:00+00:00,262,139,990,258
2026-04-01 00:00:00+00:00,549,220,899,218
2026-04-02 00:00:00+00:00,544,174,801,202
2026-04-03 00:00:00+00:00,322,130,1210,338
2026-04-04 00:00:00+00:00,126,61,298,140
2026-04-05 00:00:00+00:00,131,60,230,94
2026-04-06 00:00:00+00:00,315,128,711,194
2026-04-07 00:00:00+00:00,259,147,1643,592
2026-04-08 00:00:00+00:00,523,192,1439,473
2026-04-09 00:00:00+00:00,291,178,1483,441
2026-04-10 00:00:00+00:00,379,188,1118,342
2026-04-11 00:00:00+00:00,104,54,370,115
2026-04-12 00:00:00+00:00,160,74,285,120
2026-04-13 00:00:00+00:00,435,280,1289,330
2026-04-14 00:00:00+00:00,489,334,1471,423
2026-04-15 00:00:00+00:00,656,361,1560,435
2026-04-16 00:00:00+00:00,541,313,1565,498
2026-04-17 00:00:00+00:00,689,365,1377,398
2026-04-18 00:00:00+00:00,245,147,499,141
2026-04-19 00:00:00+00:00,208,133,477,174
2026-04-20 00:00:00+00:00,1214,430,1499,489
2026-04-21 00:00:00+00:00,1135,386,1981,509
2026-04-22 00:00:00+00:00,1816,466,2044,515
2026-04-23 00:00:00+00:00,1121,438,1599,499
2026-04-24 00:00:00+00:00,797,402,1578,469
2026-04-25 00:00:00+00:00,421,233,690,157
2026-04-26 00:00:00+00:00,288,141,493,140
2026-04-27 00:00:00+00:00,1406,350,1137,377
2026-04-28 00:00:00+00:00,1102,380,1207,371
2026-04-29 00:00:00+00:00,1340,400,1209,408
2026-04-30 00:00:00+00:00,563,305,1414,537
2026-05-01 00:00:00+00:00,413,183,1160,338
2026-05-02 00:00:00+00:00,284,92,497,194
2026-05-03 00:00:00+00:00,422,108,472,186
2026-05-04 00:00:00+00:00,583,268,1094,466
2026-05-05 00:00:00+00:00,1592,317,1101,436
2026-05-06 00:00:00+00:00,2607,350,1013,367
2026-05-07 00:00:00+00:00,1475,335,840,342
2026-05-08 00:00:00+00:00,1295,312,1027,365
2026-05-09 00:00:00+00:00,998,126,548,140
2026-05-10 00:00:00+00:00,1099,122,288,120
2026-05-11 00:00:00+00:00,4894,402,701,284
2026-05-12 00:00:00+00:00,1043,299,634,252
2026-05-13 00:00:00+00:00,1412,355,822,259
2026-05-14 00:00:00+00:00,1349,306,855,263
2026-05-15 00:00:00+00:00,933,233,825,262
2026-05-16 00:00:00+00:00,539,116,385,103
2026-05-17 00:00:00+00:00,847,114,405,123
2026-05-18 00:00:00+00:00,1151,263,749,256
2026-05-19 00:00:00+00:00,827,270,623,233
2026-05-20 00:00:00+00:00,1384,321,892,279
2026-05-21 00:00:00+00:00,1346,306,898,279
2026-05-22 00:00:00+00:00,1711,303,838,268
2026-05-23 00:00:00+00:00,614,102,409,90
